V,Libelle GEN,Libelle ROME,Code ROME,score
Na,Gestionnaire de parc micro-informatique,Correspondant / Correspondante micro-informatique,I1401,47.1087212781359
Na,Chef de projet agile,Réparateur / Réparatrice de machines à coudre,I1402,7.24427898286118
Na,Chef de projet digital,Chef de groupe média planning,E1402,52.6214321400715
Na,Motion Designer,UI - user interface designer,E1205,36.0029236101772
Na,Chef de projet systèmes d'information,Gestionnaire Systèmes d'Information Géographique -SIG-,M1808,43.4407974378328
Na,Ingénieur DevOps,Ingénieur concepteur / Ingénieure conceptrice informatique,M1805,98.2939738612282
Na,Technicien d'exploitation,Dessinateur / Dessinatrice d'édition,E1205,13.6501687961513
Na,Technicien réseau,Technicien / Technicienne réseaux et télécommunications d'entreprise,I1307,86.2063751800014
Na,Chargé de communication web,Chargé / Chargée de communication,E1103,1.50025133115921
Na,Technicien système et réseau,Technicien / Technicienne analyses et essais en recherche et développement,H1210,15.6587585327782
Na,Technicien d'exploitation,Technicien / Technicienne exploitation systèmes acoustiques,M1807,23.7462405608869
Na,Responsable Sécurité de l'information,Architecte de sécurité des systèmes d'information,M1802,31.3279084391817
Na,Technicien en télécommunication,Margeur / Margeuse en façonnage,E1304,5.89014708082772
Na,Technicien helpdesk,Technicien / Technicienne de laboratoire photographique,E1203,57.0461888704309
Na,Chargé de communication web,Maquettiste d'exécution publicitaire,E1306,21.0279969453013
Na,Technicien helpdesk,Superviseur / Superviseuse help desk en informatique,I1401,11.6312488032271
Na,Gestionnaire de parc micro-informatique,Ingénieur / Ingénieure d'étude en informatique de gestion,M1805,14.0759519021167
Na,Expert en technologie de l’information,Ingénieur / Ingénieure en matériaux en industrie,H1206,35.7318157354278
Na,Chef de projet digital,Chef exploitation images drones,M1808,4.98535241515032
Na,Technicien base de données,Technicien / Technicienne de développement technologique,H1210,17.2499260947729
Na,Technicien cloud,Technicien / Technicienne en reprographie numérique,E1307,21.3426135922553
Na,Expert en système d’information,Expert / Experte en sécurité des systèmes d'exploitation,M1802,24.4238790992905
Na,Community manager,Bid manager,H1102,32.2933409630805
Na,Chef de projet web,Administrateur / Administratrice de site internet,M1801,51.9948251255692
Na,Responsable sécurité des systèmes d'information,Ingénieur / Ingénieure Systèmes d'Information Géographique -SIG,M1808,10.6833650498283
Na,Ingénieur en Machine Learning,Ingénieur / Ingénieure hydrobiologiste en industrie,H1206,42.8630768463396
Na,Chef de projet technique,Chef de projet internet,M1803,32.9644023295968
Na,Product Manager,Chef de produit,M1703,23.9838214316293
Na,Gestionnaire de parc micro-informatique,Gestionnaire de production informatique,M1810,2.81022842686496
Na,Technicien système et réseau,Technicien / Technicienne d'exploitation télécommunication,M1807,9.24402387561603
Na,Forgeur numérique,Modeleur / Modeleuse 3 D,E1205,97.7980885322426
Na,Créateur d'entreprise,Conducteur / Conductrice d'autoplatines,E1302,59.4552064589449
Na,Ingénieur DevOps,Ingénieur / Ingénieure d'application informatique,M1805,2.99203666452647
Na,Administrateur Système d'information,Consultant / Consultante en système d'information,M1806,37.8807815285531
Na,Chef de projet digital,Chef de publicité online,E1401,29.2845820196921
Na,Responsable communication digitale,Responsable de la communication,E1103,13.4155873635799
Na,Chef de projet web,Chef de projet informatique,M1803,69.5809354784818
Na,Responsable CRM,Responsable commercial / commerciale,M1707,44.9190975515803
Na,Technicien système et réseau,Technicien / Technicienne météorologiste-océanographe,M1809,22.8765017480001
Na,Chef de projet e-commerce,Chef de projet publicitaire,E1401,47.9035616874811
Na,Content manager,SPA Manager,D1208,59.4215906003254
Na,Expert en technologie de l’information,Expert / Experte des risques technologiques,H1302,10.1746420401892
Na,Ingenieur systèmes,Ingénieur / Ingénieure frigoriste en industrie,H1206,7.84094588214524
Na,Expert Sécurité IT,Expert / Experte en sécurité des systèmes d'information,M1802,51.0501586182195
Na,Chef de projet web,Chef opérateur / opératrice photographe,E1201,2.94077603574836
Na,Créateur d'entreprise,Assistant / Assistante d'édition,E1105,9.75456569110121
Na,Ingenieur systèmes,Ingénieur / Ingénieure en cristallographie en industrie,H1206,59.7846384790986
Na,Responsable sécurité des systèmes d'information,Responsable d'un service informatique,M1803,41.8669433290781
Na,Technicien d'exploitation,Technicien / Technicienne d'exploitation vidéo,L1505,11.6126307729615
Na,Réalisateur de jeux vidéos,Producer chef de projet jeux vidéo,E1104,71.9784774755577
Na,Architecte IoT,Ingénieur / Ingénieure en architecture télécoms,M1804,17.3511515940801
Na,Ingénieur en Machine Learning,Ingénieur / Ingénieure ERD en éco-conception procédés,H1206,33.9570556956258
Na,Technicien système et réseau,Technicien rédacteur / Technicienne rédactrice en industrie,H1207,28.7168711360984
Na,Chef de projet technique,Chef de projet Web,M1803,27.8078687307592
Na,Technicien système et réseau,Technicien automaticien / Technicienne automaticienne d'études et conception,H1208,40.056926716485
Na,Directeur de projet,Directeur / Directrice assistance technique,H1101,20.0372042540455
Na,Technicien base de données,Technicien / Technicienne de la météorologie,M1809,46.0091336479164
Na,Développeur Web,Designer web mobile,E1205,52.6666734406518
Na,Game designer,Designer,H1204,46.3001797444158
Na,Directeur de projet,Directeur / Directrice d'information,E1106,16.5713918465636
Na,Expert en technologie de l’information,Ingénieur / Ingénieure en biopuce en industrie,H1206,1.87422354543564
Na,Chef de projet agile,Chef d'équipe station de sondage météorologique,M1809,4.74336917194447
Na,Administrateur Système d'information,Conducteur / Conductrice d'autoplatines,E1302,49.1141600240253
Na,Data Analyst,Data scientist,M1403,38.7099061307989
Na,Technicien helpdesk,Traducteur technique / Traductrice technique,E1108,47.2216467041246
Na,Chef de projet digital,Responsable de projet architecture télécoms,M1803,49.4850765568507
Na,Forgeur numérique,Infographiste 3 D,E1205,22.8079909848784
Na,UX Designer,Designer packaging,H1204,26.5750433110892
Na,Responsable CRM,Responsable e-CRM electronic Customer Relationship Management,M1704,44.4435657627868
Na,Animateur 3D,Graphiste 3 D,E1205,1.3554445980747
Na,Coordinateur de projet,Responsable de projet recherche et développement,H1206,22.1769403306099
Na,Technicien en télécommunication,Technicien / Technicienne de hot line en informatique,I1401,59.6234527589306
Na,Ingenieur systèmes,Ingénieur / Ingénieure système informatique,M1802,29.7600021377749
Na,Gestionnaire de base de données,Conducteur / Conductrice de machines de reliure,E1302,36.6594353839524
Na,Gestionnaire de parc micro-informatique,Technicien / Technicienne d'exploitation informatique,M1810,4.49581637548821
Na,Journaliste web,Journaliste présentateur / présentatrice radio,E1106,8.43933134920312
Na,Technicien base de données,Conducteur / Conductrice de machines de brochage,E1302,39.95818002343
Na,Directeur de projet,Responsable de projet publicitaire,E1401,43.2138796994336
Na,Chef de projet agile,Chef d'atelier en industrie graphique,E1303,38.5875564862264
Na,Game designer,Concepteur / Conceptrice de jeux vidéo,E1104,80.3057364389733
Na,Chef de projet agile,Chef d'atelier de reprographie,E1307,55.9011841831886
Na,Fablab manager,Modeleur / Modeleuse 3 D,E1205,45.372136657609
Na,Expert en système d’information,Urbaniste des systèmes d'information,M1806,6.05428052633796
Na,Gestionnaire de base de données,Vétérinaire de l'industrie,H1206,50.5064804342532
Na,Developpeur Back-End,Ingénieur / Ingénieure d'études en industrie,H1206,26.7739083523221
Na,Technicien en télécommunication,Technicien / Technicienne en téléassistance en informatique,I1401,26.8501272564258
Na,Chef de projet technique,Chef de projet TMA - Tierce Maintenance Applicative,M1805,16.5517306595089
Na,Ingénieur en Machine Learning,Dessinateur-projeteur / Dessinatrice-projeteuse en machines spéciales,H1203,41.3727666693263
Na,Ingénieur DevOps,Ingénieur / Ingénieure radio,M1804,26.7887110839351
Na,Webmaster,Webmaster éditorialiste,E1106,54.4437814254154
Na,Ingenieur systèmes,Responsable des systèmes informatiques,M1803,18.0880347114895
Na,Directeur de projet,Directeur / Directrice de la communication,E1103,36.0857998224604
Na,Chef de projet technique,Analyste des services techniques du renseignement,M1807,41.0106815442841
Na,Ingénieur IOT,Ingénieur / Ingénieure radio,M1804,6.1590327923264
Na,Couteau suisse du numérique,Conseiller médiateur / Conseillère médiatrice en numérique,G1202,14.891799809642
Na,Gestionnaire de base de données,Directeur / Directrice de compagnie de danse,L1302,21.2697838474721
Na,Responsable Sécurité de l'information,Responsable de programmes réseaux de télécoms,M1804,47.9649180512474
Na,Technicien helpdesk,Technicien / Technicienne finissage des peaux,H1201,41.8780930984507
Na,Chef de projet digital,Chef de groupe en agence de publicité,E1401,11.1242026606799
Na,Gestionnaire de base de données,Administrateur / Administratrice de production de spectacles,L1302,25.3469503583068
Na,Gestionnaire de base de données,Conducteur / Conductrice de chaînes de brochage,E1302,24.6938860083671
Na,Technicien base de données,Directeur / Directrice de ballet,L1302,24.2898333539656
Na,Architecte Logiciel,Concepteur / Conceptrice logiciel informatique,M1805,21.0622326090371
Na,Chef de projet systèmes d'information,Ingénieur / Ingénieure systèmes industriels,H1206,35.4166345960444
Na,Responsable Sécurité de l'information,Artiste peintre à l'aérographe,B1101,23.1449533992805
Na,Expert en technologie de l’information,Technicien / Technicienne de maintenance de réseaux télématiques,I1401,26.5035357729118
